"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-04-13","09:43","인천","남동구","경인로(북→남)","인천광역시 남동구 간석동 776도","인천광역시 남동구 간석동 540도","14","38","20","매우좋음"
"2023-04-13","10:00","인천","남동구","석정로(동→서)","인천광역시 남동구 간석동 613-6도","인천광역시 남동구 간석동 618-5도","14","35","6","매우좋음"
"2023-04-13","10:16","인천","남동구","석산로(북→남)","인천광역시 남동구 간석동 396구","인천광역시 남동구 간석동 923-3도","14","34","14","매우좋음"
"2023-04-13","10:36","인천","남동구","만수서로(서→동)","인천광역시 남동구 만수동 990도","인천광역시 남동구 만수동 391도","15","33","6","매우좋음"
"2023-04-13","10:42","인천","남동구","수현로(서→동)","인천광역시 남동구 만수동 822-40 도","인천광역시 남동구 장수동 397-6 도","15","32","8","매우좋음"
"2023-04-13","10:49","인천","남동구","담방로(북→남)","인천광역시 남동구 장수동 681-2도","인천광역시 남동구 만수동 1070도","15","31","3","매우좋음"
"2023-04-13","11:01","인천","남동구","장승남로(서→동)","인천광역시 남동구 수산동 13-15도","인천광역시 남동구 만수동 1037-1잡","15","26","2","매우좋음"
"2023-04-13","11:05","인천","남동구","매소홀로(동→서)","인천광역시 남동구 운연동 229-20 답","인천광역시 남동구 구월동 828-2천","15","28","3","매우좋음"
"2023-04-13","11:21","인천","남동구","인하로(동→서)","인천광역시 남동구 구월동 1583 도","인천광역시 남동구 구월동 1335-4 도","15","27","2","매우좋음"
"2023-04-13","11:29","인천","남동구","예술로(남→북)","인천광역시 남동구 구월동 1335-4 도","인천광역시 부평구 십정동 526-7도","15","26","3","매우좋음"
"2023-04-13","11:37","인천","남동구","백범로(서→동)","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 장수동 657-2도","16","24","3","매우좋음"
"2023-04-13","11:57","인천","남동구","수인로(서→동)","인천광역시 남동구 장수동 657-2도","인천광역시 남동구 운연동 49-9도","16","23","2","매우좋음"
"2023-04-13","12:00","인천","남동구","인주대로(동→서)","인천광역시 남동구 운연동 107-1도","인천광역시 남동구 구월동 1335-5 도","15","22","8","매우좋음"
"2023-04-13","13:43","인천","남동구","문화로(북→남)","인천광역시 남동구 간석동 397-1 도","인천광역시 남동구 구월동 1335-4 도","16","17","10","매우좋음"
"2023-04-13","13:59","인천","남동구","구월로(서→동)","인천광역시 남동구 간석동 925도","인천광역시 남동구 만수동 990도","16","17","3","매우좋음"
"2023-04-13","14:16","인천","남동구","장아산로(북→남)","인천광역시 남동구 장수동 613-3도","인천광역시 남동구 서창동 631 도","17","20","3","매우좋음"
"2023-04-13","14:28","인천","남동구","서창남순환로(서→동)","인천광역시 남동구 서창동 754도","인천광역시 남동구 서창동 753도","17","20","6","매우좋음"
"2023-04-13","14:39","인천","남동구","서창방산로(서→동)","인천광역시 남동구 서창동 748 도","인천광역시 남동구 운연동 513-8 천","17","20","1","매우좋음"
"2023-04-13","14:50","인천","남동구","서창남로(남→북)","인천광역시 남동구 서창동 770도","인천광역시 남동구 수산동 393-7도","17","21","2","매우좋음"
"2023-04-13","10:06","경기","파주시","숲속노을로(남→북)","경기도 파주시 동패동 606-4 도","경기도 파주시 문발동 623도","13","38","177","나쁨"
"2023-04-13","10:22","경기","파주시","청석로(북→남)","경기도 파주시 다율동 349-7임","경기도 파주시 동패동 1345-3 도","14","35","150","보통"
"2023-04-13","10:43","경기","파주시","파주로(서→동)","경기도 파주시 문발동 211-5 도","경기도 파주시 법원읍 오현리 산25-1임","14","33","38","매우좋음"
"2023-04-13","10:55","경기","파주시","경의로(북→남)","경기도 파주시 아동동 299-16 도","경기도 고양시일산서구 덕이동 319-5도","15","29","32","매우좋음"
"2023-04-13","11:42","경기","파주시","미래로(남→북)","경기도 파주시 동패동 22-3 도","경기도 파주시 당하동 650-1 도","15","20","90","좋음"
"2023-04-13","11:53","경기","파주시","가람로(서→동)","경기도 파주시 와동동 1555도","경기도 파주시 와동동 803도","15","21","98","좋음"
"2023-04-13","11:57","경기","파주시","가람로116번길(북→남)","경기도 파주시 와동동 1524도","경기도 파주시 와동동 1486도","16","21","96","좋음"
"2023-04-13","12:02","경기","파주시","책향기로(동→서)","경기도 파주시 와동동 1421도","경기도 파주시 동패동 386-8전","15","19","112","보통"
"2023-04-13","12:30","경기","파주시","심학산로(서→동)","경기도 파주시 문발동 541-3 도","경기도 파주시 와동동 1421도","16","21","50","매우좋음"
"2023-04-13","12:44","경기","파주시","와석순환로(북→남)","경기도 파주시 와동동 1421도","경기도 파주시 야당동 998도","16","18","47","매우좋음"
"2023-04-13","13:08","경기","파주시","금릉역로(남→북)","경기도 파주시 상지석동 1097 도","경기도 파주시 금촌동 496-12 도","16","17","33","매우좋음"
"2023-04-13","13:16","경기","파주시","중앙로(서→동)","경기도 파주시 금촌동 329-10대","경기도 파주시 조리읍 등원리 294-6도","17","18","69","좋음"
